date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:51	20618/20618	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:52%20GMT	http://bibliograph.net/Service	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Service.html	(from http://bibliograph.net/Thing)
11:18:51	6135/6135	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:53%20GMT	http://bibliograph.net/programmingLanguage	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/programmingLanguage.html	(from http://bibliograph.net/Thing)
11:18:51	47435/47435	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:53%20GMT	http://bibliograph.net/Code	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Code.html	(from http://bibliograph.net/Thing)
11:18:51	6686/6686	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:53%20GMT	http://bibliograph.net/purpose	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/purpose.html	(from http://bibliograph.net/Thing)
11:18:52	18909/18909	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:53%20GMT	http://bibliograph.net/AllocateAction	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/AllocateAction.html	(from http://bibliograph.net/Thing)
11:18:52	19004/19004	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:54%20GMT	http://bibliograph.net/MedicalDevice	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/MedicalDevice.html	(from http://bibliograph.net/Thing)
11:18:52	21461/21461	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:54%20GMT	http://bibliograph.net/PayAction	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/PayAction.html	(from http://bibliograph.net/Thing)
11:18:53	6296/6296	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:54%20GMT	http://bibliograph.net/quest	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/quest.html	(from http://bibliograph.net/Thing)
11:18:53	6617/6617	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:54%20GMT	http://bibliograph.net/replacee	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/replacee.html	(from http://bibliograph.net/Thing)
11:18:53	19767/19767	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:55%20GMT	http://bibliograph.net/ReplaceAction	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/ReplaceAction.html	(from http://bibliograph.net/Thing)
11:18:53	6608/6608	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:55%20GMT	http://bibliograph.net/replacer	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/replacer.html	(from http://bibliograph.net/Thing)
11:18:54	6146/6146	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:55%20GMT	http://bibliograph.net/reservationFor	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/reservationFor.html	(from http://bibliograph.net/Thing)
